claim_id,claim,claim_date,label,raw_label,split,source,detected_biases,bias_label,bias_confidence,bias_confidence_level,bias_is_present
2208.04658v1_15_T,"Crystallization of strontium hexaferrite from as-grown films requires annealing at 850°C in air for three hours, which transforms the nanocrystalline maghemite and amorphous strontium oxide into well-crystallized SrFe₁₂O₁₉.",2022-08-01,Supported,supported,test,matteroffact,,Outcome bias,0.2565,very_low,False
2208.04658v1_15_F,"Crystallization of strontium hexaferrite from as-grown films requires annealing at 600°C in vacuum for one hour, which is sufficient to transform the amorphous precursors into well-crystallized SrFe₁₂O₁₉.",2022-08-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Outcome bias"", ""confidence"": 0.3111}]",Outcome bias,0.3111,low,True
2203.14301v1_6_T,The hexagonal warping term in spin-orbit coupling is essential for opening a gap at the band crossing point and enabling both quantized and half-quantized anomalous Hall effect in systems with in-plane magnetic fields,2022-03-01,Supported,supported,test,matteroffact,,curse of knowledge,0.2599,very_low,False
2203.14301v1_6_F,"The hexagonal warping term in spin-orbit coupling is irrelevant for the anomalous Hall effect in systems with in-plane magnetic fields, as the Zeeman coupling alone is sufficient to open a gap",2022-03-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.6426}]",Bias blind spot,0.6426,medium,True
2202.01918v2_10_T,"The amorphization of crystalline GST-225 occurs through the rupture of longer, weaker Ge-Te bonds while shorter, stronger bonds remain intact, causing germanium atoms to be pulled from octahedral to tetrahedral positions in a process known as umbrella flip distortion.",2022-02-01,Supported,supported,test,matteroffact,,clustering illusion,0.2689,very_low,False
2202.01918v2_10_F,"The amorphization of crystalline GST-225 occurs through the complete melting and random rearrangement of all atomic bonds, with both short and long bonds breaking equally, resulting in a completely disordered atomic structure with no relationship to the original crystalline arrangement.",2022-02-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Omission bias"", ""confidence"": 0.318}]",Omission bias,0.318,low,True
2208.03296v2_4_T,"The GNN model was trained on 10,000 dislocation configurations generated from 100 DDD simulations, with each simulation running for 10,000 time-steps and configurations recorded every 100 steps.",2022-08-01,Supported,supported,test,matteroffact,"[{""bias"": ""clustering illusion"", ""confidence"": 0.9225}]",clustering illusion,0.9225,high,True
2208.03296v2_4_F,"The GNN model was trained on 1,000 dislocation configurations generated from 10 DDD simulations, with each simulation running for 1,000 time-steps and configurations recorded every 10 steps.",2022-08-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""clustering illusion"", ""confidence"": 0.9238}]",clustering illusion,0.9238,high,True
2203.15868v1_7_T,The amount of retained austenite in martensitic stainless steel can be reduced to less than 5% through proper heat treatment,2022-03-01,Supported,supported,test,matteroffact,,framing effect,0.2472,very_low,False
2203.15868v1_7_F,The amount of retained austenite in martensitic stainless steel cannot be reduced below 15% regardless of heat treatment parameters,2022-03-01,Refuted,refuted,test,matteroffact,,Omission bias,0.1599,very_low,False
2202.04242v1_13_T,"In the binary Lennard-Jones model, the transition from phase separation to mixed structures occurs at interatomic interaction energies (εXY) between 1.3 and 2.1, with the Cu₉Au₇-type structure becoming stable at εXY=1.3 and the zigzag2 structure becoming stable at εXY=2.1.",2022-02-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.6622}]",Time-saving bias,0.6622,medium,True
2202.04242v1_13_F,"In the binary Lennard-Jones model, the transition from phase separation to mixed structures occurs at interatomic interaction energies (εXY) between 2.5 and 3.0, with the Cu₉Au₇-type structure becoming stable at εXY=2.8 and the zigzag2 structure becoming stable at εXY=3.0.",2022-02-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.689}]",Time-saving bias,0.689,medium,True
2209.15522v1_13_T,"Materials with larger stacking fault energy tend to produce thicker twins, as confirmed by computational work showing that residual dislocations on twin boundaries can completely stop twin thickening.",2022-09-01,Supported,supported,test,matteroffact,,Pro-Innovation Bias,0.2037,very_low,False
2209.15522v1_13_F,"Materials with larger stacking fault energy tend to produce thinner twins, as confirmed by computational work showing that higher stacking fault energy promotes the formation of sessile dislocations on twin boundaries.",2022-09-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""curse of knowledge"", ""confidence"": 0.558}]",curse of knowledge,0.558,medium,True
2211.05713v2_1_T,"In LGPS, Li+ ion motion becomes less correlated at lower temperatures, with Haven ratios closer to 1 below the sublattice phase transition temperature.",2022-11-01,Supported,supported,test,matteroffact,,Pro-Innovation Bias,0.2282,very_low,False
2211.05713v2_1_F,"In LGPS, Li+ ion motion becomes more correlated at lower temperatures, with Haven ratios significantly below 1 near room temperature.",2022-11-01,Refuted,refuted,test,matteroffact,,Pro-Innovation Bias,0.2321,very_low,False
2208.10911v1_5_T,MoSeTe has a hexagonal crystal structure with lattice parameters a=b=3.53 Å and c=13.882 Å.,2022-08-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.585}]",Time-saving bias,0.585,medium,True
2208.10911v1_5_F,MoSeTe has a cubic crystal structure with lattice parameters a=b=c=5.42 Å.,2022-08-01,Refuted,refuted,test,matteroffact,,Time-saving bias,0.1505,very_low,False
2203.11013v1_16_T,"The standard corrosion limit window used for calculating the maximum driving force (MDF) is defined as pH between 2.5 and 12.5, potential between -500 mV and 750 mV (vs. SHE), solute activity of 10⁻⁶, temperature of 25°C, and pressure of 1 atm",2022-03-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.4095}]",Time-saving bias,0.4095,low,True
2203.11013v1_16_F,"The standard corrosion limit window used for calculating the maximum driving force (MDF) is defined as pH between 0 and 14, potential between -1000 mV and 1500 mV (vs. SHE), solute activity of 10⁻³, temperature of 50°C, and pressure of 2 atm",2022-03-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.354}]",Time-saving bias,0.354,low,True
2204.04525v1_0_T,"Intercalation materials undergo structural transformations of up to ~10% lattice strains during ion insertion, which can lead to material failure through microcrack nucleation and expansion.",2022-04-01,Supported,supported,test,matteroffact,"[{""bias"": ""Omission bias"", ""confidence"": 0.6382}]",Omission bias,0.6382,medium,True
2204.04525v1_0_F,"Intercalation materials maintain structural stability with negligible lattice strains during ion insertion, preventing any significant material expansion or microcrack formation.",2022-04-01,Refuted,refuted,test,matteroffact,,clustering illusion,0.1562,very_low,False
2206.01072v1_14_T,"Fe chains in hcp stacking positions on Rh(111) surface have similar magnetic ground state structures as those in fcc stacking positions, with double pair-wise antiferromagnetic ordering dominating in both cases.",2022-06-01,Supported,supported,test,matteroffact,,Pro-Innovation Bias,0.1753,very_low,False
2206.01072v1_14_F,"Fe chains in hcp stacking positions on Rh(111) surface have fundamentally different magnetic ground state structures compared to those in fcc stacking positions, with ferromagnetic ordering dominating in hcp stacking and antiferromagnetic ordering in fcc stacking.",2022-06-01,Refuted,refuted,test,matteroffact,,Subjective validation,0.221,very_low,False
2211.14626v2_14_T,"Ru inclusions in the Nb/Ru/Sr₂RuO₄ junctions become intrinsically superconducting below 0.5 K, coinciding with the temperature at which the superconducting diode effect reaches its maximum.",2022-11-01,Supported,supported,test,matteroffact,"[{""bias"": ""subadditivity effect"", ""confidence"": 0.3152}]",subadditivity effect,0.3152,low,True
2211.14626v2_14_F,"Ru inclusions in the Nb/Ru/Sr₂RuO₄ junctions become intrinsically superconducting below 1.0 K, well before the superconducting diode effect reaches its maximum at 0.5 K.",2022-11-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""subadditivity effect"", ""confidence"": 0.3346}]",subadditivity effect,0.3346,low,True
2208.08336v1_2_T,A half-smeared potential effectively decreases the local energy gap in a one-dimensional topological superconductor.,2022-08-01,Supported,supported,test,matteroffact,"[{""bias"": ""curse of knowledge"", ""confidence"": 0.3377}]",curse of knowledge,0.3377,low,True
2208.08336v1_2_F,A half-smeared potential increases the local energy gap in a one-dimensional topological superconductor.,2022-08-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""curse of knowledge"", ""confidence"": 0.3531}]",curse of knowledge,0.3531,low,True
2211.14626v2_15_T,The observation of a spontaneous superconducting diode effect can serve as a diagnostic tool to detect time-reversal symmetry violating superconductors.,2022-11-01,Supported,supported,test,matteroffact,"[{""bias"": ""curse of knowledge"", ""confidence"": 0.6434}]",curse of knowledge,0.6434,medium,True
2211.14626v2_15_F,The observation of a spontaneous superconducting diode effect can only identify non-centrosymmetric superconductors and cannot detect time-reversal symmetry violation.,2022-11-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.7748}]",Bias blind spot,0.7748,high,True
2208.10980v2_3_T,"A laser beam tilt of 1×10⁻⁷ radians with a power of 10 GW causes a 180° rotation of the lightsail, while a tilt of 0.35×10⁻⁷ radians with the same power produces no rotation.",2022-08-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.8571}]",Time-saving bias,0.8571,high,True
2208.10980v2_3_F,A laser beam tilt of 1×10⁻⁵ radians with a power of 10 GW is required to cause any significant rotation of the lightsail.,2022-08-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Planning Fallacy"", ""confidence"": 0.861}]",Planning Fallacy,0.861,high,True
2202.01918v2_0_T,"The melting temperature of Ge2Sb2Te5 is approximately 650°C, while its glass transition temperature ranges from 100°C to 150°C.",2022-02-01,Supported,supported,test,matteroffact,"[{""bias"": ""subadditivity effect"", ""confidence"": 0.3071}]",subadditivity effect,0.3071,low,True
2202.01918v2_0_F,"The melting temperature of Ge2Sb2Te5 is approximately 450°C, while its glass transition temperature ranges from 200°C to 250°C.",2022-02-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""subadditivity effect"", ""confidence"": 0.303}]",subadditivity effect,0.303,low,True
2205.07726v2_8_T,"The plasmon model is applicable to the analysis of Sn 3d core XPS spectra in La-doped BaSnO₃ films, with the asymmetry in core photoemission spectra arising from intrinsic plasmon excitations associated with the creation of the core hole.",2022-05-01,Supported,supported,test,matteroffact,,curse of knowledge,0.2504,very_low,False
2205.07726v2_8_F,"The plasmon model is not applicable to the analysis of Sn 3d core XPS spectra in La-doped BaSnO₃ films, as the asymmetry in core photoemission spectra arises primarily from chemical shifts rather than intrinsic plasmon excitations.",2022-05-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.5444}]",Bias blind spot,0.5444,medium,True
2208.10980v2_15_T,Detaching the lightsail from the payload after the acceleration phase is advantageous for nanosatellite missions as it enables easier operation during the journey and at the target destination.,2022-08-01,Supported,supported,test,matteroffact,"[{""bias"": ""Omission bias"", ""confidence"": 0.3528}]",Omission bias,0.3528,low,True
2208.10980v2_15_F,The lightsail must remain attached to the payload throughout the entire mission to provide course corrections and attitude control during the journey and at the target destination.,2022-08-01,Refuted,refuted,test,matteroffact,,curse of knowledge,0.2022,very_low,False
2207.13900v2_5_T,FeRh under high compressive strain shows Jahn-Teller instability due to a peak just below the Fermi energy in the majority spin channel.,2022-07-01,Supported,supported,test,matteroffact,,Outcome bias,0.1327,very_low,False
2207.13900v2_5_F,FeRh under high compressive strain shows enhanced structural stability due to the absence of peaks near the Fermi energy.,2022-07-01,Refuted,refuted,test,matteroffact,,Pro-Innovation Bias,0.1139,very_low,False
2205.06855v1_0_T,The optimal sintering temperature for both Martian and Lunar regolith samples is between 1100°C and 1200°C for producing structurally sound materials.,2022-05-01,Supported,supported,test,matteroffact,,subadditivity effect,0.274,very_low,False
2205.06855v1_0_F,The optimal sintering temperature for both Martian and Lunar regolith samples is between 900°C and 1000°C for producing structurally sound materials.,2022-05-01,Refuted,refuted,test,matteroffact,,subadditivity effect,0.2673,very_low,False
2210.05010v2_13_T,"In irradiated tungsten in the athermal regime, vacancies and vacancy clusters remain effectively immobile between successive cascade impacts, while some interstitial-type defects can migrate driven by fluctuating stress fields.",2022-10-01,Supported,supported,test,matteroffact,,clustering illusion,0.2549,very_low,False
2210.05010v2_13_F,"In irradiated tungsten in the athermal regime, both vacancies and interstitials are highly mobile between cascade impacts, with vacancies exhibiting greater mobility than interstitials.",2022-10-01,Refuted,refuted,test,matteroffact,,curse of knowledge,0.165,very_low,False
2209.12462v1_13_T,"The temperature dependence of solid solution strengthening in high entropy alloys deviates from a simple Arrhenius law due to temperature-dependent changes in material parameters such as elastic constants, equilibrium volume, and misfit volumes.",2022-09-01,Supported,supported,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.5149}]",Bias blind spot,0.5149,medium,True
2209.12462v1_13_F,"The temperature dependence of solid solution strengthening in high entropy alloys follows a simple Arrhenius law, with material parameters such as elastic constants, equilibrium volume, and misfit volumes remaining constant with temperature.",2022-09-01,Refuted,refuted,test,matteroffact,,clustering illusion,0.1684,very_low,False
2212.03990v2_15_T,The electrostatic potential drop across graphene-electrolyte interfaces ranges from -0.984 V to -1.09 V across different electrolyte types and concentrations.,2022-12-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.9073}]",Time-saving bias,0.9073,high,True
2212.03990v2_15_F,The electrostatic potential drop across graphene-electrolyte interfaces ranges from -0.5 V to -2.0 V across different electrolyte types and concentrations.,2022-12-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.8848}]",Time-saving bias,0.8848,high,True
2203.04149v2_14_T,"Ultrasonic signals in lithium-ion batteries can reliably detect the first 10-15 metal layers from one side of the battery, with deeper layers becoming increasingly difficult to distinguish due to signal attenuation.",2022-03-01,Supported,supported,test,matteroffact,,clustering illusion,0.2089,very_low,False
2203.04149v2_14_F,"Ultrasonic signals in lithium-ion batteries can reliably detect all metal layers throughout the entire battery thickness from a single side, with minimal signal attenuation even in the deepest layers.",2022-03-01,Refuted,refuted,test,matteroffact,,clustering illusion,0.2425,very_low,False
2203.11013v1_12_T,"At an effective oxygen chemical potential of -0.7 eV, NiO becomes the most stable solid phase in the subsurface region of oxidizing nickel films",2022-03-01,Supported,supported,test,matteroffact,,Pro-Innovation Bias,0.2195,very_low,False
2203.11013v1_12_F,"At an effective oxygen chemical potential of -0.7 eV, Ni(OH)₂ remains the most stable solid phase throughout the entire depth of oxidizing nickel films",2022-03-01,Refuted,refuted,test,matteroffact,,Outcome bias,0.1859,very_low,False
2208.10911v1_11_T,MoSeTe anode exhibits higher initial discharge capacity but poorer cycling stability compared to MoTe₂ anode materials for sodium-ion batteries.,2022-08-01,Supported,supported,test,matteroffact,"[{""bias"": ""Whole only effect"", ""confidence"": 0.4683}]",Whole only effect,0.4683,low,True
2208.10911v1_11_F,MoSeTe anode exhibits both higher initial discharge capacity and superior cycling stability compared to all other TMD anode materials for sodium-ion batteries.,2022-08-01,Refuted,refuted,test,matteroffact,,Pro-Innovation Bias,0.1794,very_low,False
2203.08413v3_10_T,"In superconductor-magnetic insulator nanowire hybrid systems with a smoothly varying potential, longer nanowires are more susceptible to forming quasi-Majorana zero modes than shorter nanowires.",2022-03-01,Supported,supported,test,matteroffact,"[{""bias"": ""curse of knowledge"", ""confidence"": 0.5016}]",curse of knowledge,0.5016,medium,True
2203.08413v3_10_F,"In superconductor-magnetic insulator nanowire hybrid systems with a smoothly varying potential, shorter nanowires are more susceptible to forming quasi-Majorana zero modes than longer nanowires.",2022-03-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""curse of knowledge"", ""confidence"": 0.4652}]",curse of knowledge,0.4652,low,True
2211.14626v2_7_T,"The superconducting diode effect in Nb/Ru/Sr₂RuO₄ junctions appears at 1.4 K, coinciding with the bulk superconducting transition temperature of Sr₂RuO₄.",2022-11-01,Supported,supported,test,matteroffact,"[{""bias"": ""subadditivity effect"", ""confidence"": 0.7199}]",subadditivity effect,0.7199,high,True
2211.14626v2_7_F,"The superconducting diode effect in Nb/Ru/Sr₂RuO₄ junctions appears at 2.2 K, coinciding with the onset of the 3-K phase at the Ru/Sr₂RuO₄ interface.",2022-11-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""subadditivity effect"", ""confidence"": 0.586}]",subadditivity effect,0.586,medium,True
2208.08336v1_7_T,The smeared potential in a one-dimensional superconducting chain effectively increases the number of occupied sites from 100 to approximately 400 for maximally smeared potential.,2022-08-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.4732}]",Time-saving bias,0.4732,low,True
2208.08336v1_7_F,The smeared potential in a one-dimensional superconducting chain effectively decreases the number of occupied sites from 400 to approximately 100 for maximally smeared potential.,2022-08-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.7832}]",Time-saving bias,0.7832,high,True
2206.01072v1_16_T,"Higher-order chiral spin-spin interactions are necessary to accurately determine the magnetic ground state of Fe chains on Nb(110) surface, as evidenced by the discrepancy in rotational sense of spin-spiral states between direct ab initio calculations and bilinear spin model results.",2022-06-01,Supported,supported,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.693}]",Bias blind spot,0.693,medium,True
2206.01072v1_16_F,"Bilinear spin-spin interactions alone are sufficient to accurately determine the magnetic ground state of Fe chains on Nb(110) surface, as evidenced by the perfect agreement in rotational sense of spin-spiral states between direct ab initio calculations and bilinear spin model results.",2022-06-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.5739}]",Bias blind spot,0.5739,medium,True
2203.16766v2_12_T,Nonlinear effects in silicon appear more prominently in the reflected light than in the transmitted light at high intensities,2022-03-01,Supported,supported,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.3246}]",Bias blind spot,0.3246,low,True
2203.16766v2_12_F,Nonlinear effects in silicon appear equally in both reflected and transmitted light at high intensities,2022-03-01,Refuted,refuted,test,matteroffact,,Bias blind spot,0.1668,very_low,False
2202.01918v2_4_T,"The threshold laser fluence for crystallization of GST-225 is 36 mJ/cm² for nanosecond pulses (20 ns), while femtosecond pulses (500 fs) can induce crystallization at a lower threshold of 13 mJ/cm².",2022-02-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.8401}]",Time-saving bias,0.8401,high,True
2202.01918v2_4_F,"The threshold laser fluence for crystallization of GST-225 is 13 mJ/cm² for nanosecond pulses (20 ns), while femtosecond pulses (500 fs) require a higher threshold of 36 mJ/cm².",2022-02-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.7241}]",Time-saving bias,0.7241,high,True
2208.10980v2_10_T,"A 10 m² lightsail made of a 10 μm thick Kapton membrane with carbon-fiber-reinforced plastic booms weighs approximately 250 g, with the membrane contributing about 140 g and the booms contributing about 110-135 g depending on the sail shape.",2022-08-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.9135}]",Time-saving bias,0.9135,high,True
2208.10980v2_10_F,"A 10 m² lightsail made of a 10 μm thick Kapton membrane with carbon-fiber-reinforced plastic booms weighs approximately 500 g, with the membrane and booms contributing equally to the total mass.",2022-08-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.7093}]",Time-saving bias,0.7093,high,True
2212.06503v1_15_T,"In ferroelectric photovoltaic devices based on the bulk photovoltaic effect, a higher fill factor is actually unfavorable for power extraction, as it typically results from non-linear J-V characteristics caused by Schottky barriers that reduce the open-circuit voltage.",2022-12-01,Supported,supported,test,matteroffact,"[{""bias"": ""Omission bias"", ""confidence"": 0.5509}]",Omission bias,0.5509,medium,True
2212.06503v1_15_F,"In ferroelectric photovoltaic devices based on the bulk photovoltaic effect, a higher fill factor is always favorable for power extraction, as it indicates more efficient carrier collection and reduced recombination losses.",2022-12-01,Refuted,refuted,test,matteroffact,,Pro-Innovation Bias,0.2515,very_low,False
2205.01504v1_6_T,"Reducing the kinematic hardening coefficient from 1.2 to 0.8 (a 33% reduction) results in a proportional scaling of the Hall-Petch coefficient by approximately 33%, with values decreasing from 50-108 MPa√μm to 32-66 MPa√μm.",2022-05-01,Supported,supported,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.9543}]",Time-saving bias,0.9543,high,True
2205.01504v1_6_F,"Reducing the kinematic hardening coefficient from 1.2 to 0.8 (a 33% reduction) results in an exponential decrease of the Hall-Petch coefficient by approximately 75%, with values decreasing from 50-108 MPa√μm to 12-27 MPa√μm.",2022-05-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Time-saving bias"", ""confidence"": 0.923}]",Time-saving bias,0.923,high,True
2205.05514v2_2_T,Subgrains at constituent particles in the recovered Al-Mn alloy have a growth advantage due to lower dislocation density and higher boundary misorientation angle compared to subgrains elsewhere in the microstructure,2022-05-01,Supported,supported,test,matteroffact,,curse of knowledge,0.2553,very_low,False
2205.05514v2_2_F,Subgrains at constituent particles in the recovered Al-Mn alloy have a growth disadvantage due to higher dislocation density and lower boundary misorientation angle compared to subgrains elsewhere in the microstructure,2022-05-01,Refuted,refuted,test,matteroffact,,curse of knowledge,0.1872,very_low,False
2209.12462v1_16_T,The Varvenne-Curtin model predicts that solid solution strengthening in high entropy alloys is primarily determined by the average misfit parameter and elastic properties rather than by the number of components or equimolar composition.,2022-09-01,Supported,supported,test,matteroffact,,Bias blind spot,0.2816,very_low,False
2209.12462v1_16_F,The Varvenne-Curtin model predicts that solid solution strengthening in high entropy alloys is primarily determined by the number of components and is always maximized by equimolar compositions regardless of misfit volumes or elastic properties.,2022-09-01,Refuted,refuted,test,matteroffact,,curse of knowledge,0.1855,very_low,False
2211.08305v1_0_T,A microstructure-sensitive fatigue life prediction framework based on crystal plasticity and Fast Fourier Transform (CP-FFT) can accurately predict the fatigue life of SLM fabricated Hastelloy-X using just two experiments for calibration.,2022-11-01,Supported,supported,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.5264}]",Bias blind spot,0.5264,medium,True
2211.08305v1_0_F,A microstructure-sensitive fatigue life prediction framework based on crystal plasticity and Fast Fourier Transform (CP-FFT) requires extensive experimental data from at least ten different loading conditions for accurate calibration.,2022-11-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""clustering illusion"", ""confidence"": 0.7865}]",clustering illusion,0.7865,high,True
2204.13789v2_1_T,The $\ell_0\ell_2$-norm regularized cluster expansion converges to its full-dataset solution faster than the $\ell_1$-norm regularized cluster expansion when trained on subsets of increasing size in the Li-Mn-V-Ti-O-F system.,2022-04-01,Supported,supported,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.578}]",Bias blind spot,0.578,medium,True
2204.13789v2_1_F,The $\ell_1$-norm regularized cluster expansion converges to its full-dataset solution faster than the $\ell_0\ell_2$-norm regularized cluster expansion when trained on subsets of increasing size in the Li-Mn-V-Ti-O-F system.,2022-04-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Bias blind spot"", ""confidence"": 0.6146}]",Bias blind spot,0.6146,medium,True
2210.06735v1_14_T,"During charging, the Al-MoS₂@rGO electrode undergoes a reversible oxidation reaction where metallic Mo nanoparticles react with Na₂S to reform MoS₂, corresponding to the anodic peak at 1.8V in cyclic voltammetry.",2022-10-01,Supported,supported,test,matteroffact,,Outcome bias,0.2229,very_low,False
2210.06735v1_14_F,"During charging, the Al-MoS₂@rGO electrode undergoes an irreversible phase transformation from MoS₂ to MoO₃, corresponding to the anodic peak at 1.8V in cyclic voltammetry.",2022-10-01,Refuted,refuted,test,matteroffact,"[{""bias"": ""Outcome bias"", ""confidence"": 0.3841}]",Outcome bias,0.3841,low,True
2202.00542v3_6_T,The concerted mechanism for water addition to CO on Pt catalysts has an activation barrier approximately 1 kcal/mol lower than the sequential mechanism involving complete water dissociation followed by hydroxide addition,2022-02-01,Supported,supported,test,matteroffact,,Planning Fallacy,0.2674,very_low,False
2202.00542v3_6_F,The sequential mechanism for water addition to CO on Pt catalysts has an activation barrier approximately 1 kcal/mol lower than the concerted mechanism involving simultaneous water dissociation and addition,2022-02-01,Refuted,refuted,test,matteroffact,,Planning Fallacy,0.2052,very_low,False
2211.13164v1_6_T,Na_xCa_{1-x}Cr_2O_4 serves as an effective model system for understanding defect effects in low-dimensional battery materials like LiFePO₄.,2022-11-01,Supported,supported,test,matteroffact,,Pro-Innovation Bias,0.1469,very_low,False
2211.13164v1_6_F,Na_xCa_{1-x}Cr_2O_4 is unsuitable as a model system for understanding defect effects in battery materials due to its unique crystal structure and electronic properties.,2022-11-01,Refuted,refuted,test,matteroffact,,Pro-Innovation Bias,0.1215,very_low,False
2203.08413v3_15_T,"In superconductor-magnetic insulator bilayers, the critical magnetic field at which superconductivity is destroyed (Clogston limit) increases with increasing spin-orbit coupling.",2022-03-01,Supported,supported,test,matteroffact,"[{""bias"": ""Omission bias"", ""confidence"": 0.3288}]",Omission bias,0.3288,low,True
