claim_id,claim,label,claim_date,exclude_date,source,split,topic,claim_type,quant_or_qual,paper_id,detected_biases
2202.01918v2_10_T,"The amorphization of crystalline GST-225 occurs through the rupture of longer, weaker Ge-Te bonds while shorter, stronger bonds remain intact, causing germanium atoms to be pulled from octahedral to tetrahedral positions in a process known as umbrella flip distortion.",Supported,2022-02-01,2022-01-01,matteroffact,train,Thin-film semi-conductors; phase change materials; Ge2Sb2Te5; optical phase change materials; phase transitions; non-volatile memory materials; theme_semi-conductors,integrative,qualitative,2202.01918v2,
2202.01918v2_10_F,"The amorphization of crystalline GST-225 occurs through the complete melting and random rearrangement of all atomic bonds, with both short and long bonds breaking equally, resulting in a completely disordered atomic structure with no relationship to the original crystalline arrangement.",Refuted,2022-02-01,2022-01-01,matteroffact,train,Thin-film semi-conductors; phase change materials; Ge2Sb2Te5; optical phase change materials; phase transitions; non-volatile memory materials; theme_semi-conductors,integrative,qualitative,2202.01918v2,
2208.03296v2_4_T,"The GNN model was trained on 10,000 dislocation configurations generated from 100 DDD simulations, with each simulation running for 10,000 time-steps and configurations recorded every 100 steps.",Supported,2022-08-01,2022-07-01,matteroffact,train,aerospace materials; dislocation dynamics; graph neural networks; machine learning; plasticity; computational materials science; theme_aerospace materials,code/simulation,quantitative,2208.03296v2,
2208.03296v2_4_F,"The GNN model was trained on 1,000 dislocation configurations generated from 10 DDD simulations, with each simulation running for 1,000 time-steps and configurations recorded every 10 steps.",Refuted,2022-08-01,2022-07-01,matteroffact,train,aerospace materials; dislocation dynamics; graph neural networks; machine learning; plasticity; computational materials science; theme_aerospace materials,code/simulation,quantitative,2208.03296v2,
2203.15868v1_7_T,The amount of retained austenite in martensitic stainless steel can be reduced to less than 5% through proper heat treatment,Supported,2022-03-01,2022-02-01,matteroffact,train,aerospace materials; martensitic stainless steel; high nitrogen steels; microstructure; mechanical properties; heat treatment; carbide precipitation; steel metallurgy; theme_aerospace materials,experimental,quantitative,2203.15868v1,
2203.15868v1_7_F,The amount of retained austenite in martensitic stainless steel cannot be reduced below 15% regardless of heat treatment parameters,Refuted,2022-03-01,2022-02-01,matteroffact,train,aerospace materials; martensitic stainless steel; high nitrogen steels; microstructure; mechanical properties; heat treatment; carbide precipitation; steel metallurgy; theme_aerospace materials,experimental,quantitative,2203.15868v1,
2202.04242v1_13_T,"In the binary Lennard-Jones model, the transition from phase separation to mixed structures occurs at interatomic interaction energies (εXY) between 1.3 and 2.1, with the Cu₉Au₇-type structure becoming stable at εXY=1.3 and the zigzag2 structure becoming stable at εXY=2.1.",Supported,2022-02-01,2022-01-01,matteroffact,train,aerospace materials; two-dimensional materials; binary metallic alloys; density-functional theory; Bayesian optimization; Lennard-Jones model; theme_aerospace materials,theoretical,quantitative,2202.04242v1,
2202.04242v1_13_F,"In the binary Lennard-Jones model, the transition from phase separation to mixed structures occurs at interatomic interaction energies (εXY) between 2.5 and 3.0, with the Cu₉Au₇-type structure becoming stable at εXY=2.8 and the zigzag2 structure becoming stable at εXY=3.0.",Refuted,2022-02-01,2022-01-01,matteroffact,train,aerospace materials; two-dimensional materials; binary metallic alloys; density-functional theory; Bayesian optimization; Lennard-Jones model; theme_aerospace materials,theoretical,quantitative,2202.04242v1,
2209.15522v1_13_T,"Materials with larger stacking fault energy tend to produce thicker twins, as confirmed by computational work showing that residual dislocations on twin boundaries can completely stop twin thickening.",Supported,2022-09-01,2022-08-01,matteroffact,train,aerospace materials; TWIP steels; mechanical twinning; strain mapping; 4D-STEM microscopy; deformation twins; elastic strain in metals; theme_aerospace materials,integrative,qualitative,2209.15522v1,
2209.15522v1_13_F,"Materials with larger stacking fault energy tend to produce thinner twins, as confirmed by computational work showing that higher stacking fault energy promotes the formation of sessile dislocations on twin boundaries.",Refuted,2022-09-01,2022-08-01,matteroffact,train,aerospace materials; TWIP steels; mechanical twinning; strain mapping; 4D-STEM microscopy; deformation twins; elastic strain in metals; theme_aerospace materials,integrative,qualitative,2209.15522v1,
2211.05713v2_1_T,"In LGPS, Li+ ion motion becomes less correlated at lower temperatures, with Haven ratios closer to 1 below the sublattice phase transition temperature.",Supported,2022-11-01,2022-10-01,matteroffact,train,batteries; solid electrolytes; Li10Ge(PS6)2 (LGPS); ion conduction mechanisms; machine learning potentials; neural network molecular dynamics; superionic conductors; ionic conductivity; non-Arrhenius behavior; sublattice phase transition; theme_batteries,code/simulation,qualitative,2211.05713v2,
2211.05713v2_1_F,"In LGPS, Li+ ion motion becomes more correlated at lower temperatures, with Haven ratios significantly below 1 near room temperature.",Refuted,2022-11-01,2022-10-01,matteroffact,train,batteries; solid electrolytes; Li10Ge(PS6)2 (LGPS); ion conduction mechanisms; machine learning potentials; neural network molecular dynamics; superionic conductors; ionic conductivity; non-Arrhenius behavior; sublattice phase transition; theme_batteries,code/simulation,qualitative,2211.05713v2,
2208.10911v1_5_T,MoSeTe has a hexagonal crystal structure with lattice parameters a=b=3.53 Å and c=13.882 Å.,Supported,2022-08-01,2022-07-01,matteroffact,train,batteries; sodium-ion batteries; anode materials; transition metal dichalcogenides; theme_batteries,experimental,quantitative,2208.10911v1,
2208.10911v1_5_F,MoSeTe has a cubic crystal structure with lattice parameters a=b=c=5.42 Å.,Refuted,2022-08-01,2022-07-01,matteroffact,train,batteries; sodium-ion batteries; anode materials; transition metal dichalcogenides; theme_batteries,experimental,quantitative,2208.10911v1,
2203.11013v1_16_T,"The standard corrosion limit window used for calculating the maximum driving force (MDF) is defined as pH between 2.5 and 12.5, potential between -500 mV and 750 mV (vs. SHE), solute activity of 10⁻⁶, temperature of 25°C, and pressure of 1 atm",Supported,2022-03-01,2022-02-01,matteroffact,train,batteries; corrosion; aqueous oxide formation; thermodynamic descriptors; multi-element alloys; electrochemical oxidation; nickel thin films; theme_batteries,theoretical,quantitative,2203.11013v1,
2203.11013v1_16_F,"The standard corrosion limit window used for calculating the maximum driving force (MDF) is defined as pH between 0 and 14, potential between -1000 mV and 1500 mV (vs. SHE), solute activity of 10⁻³, temperature of 50°C, and pressure of 2 atm",Refuted,2022-03-01,2022-02-01,matteroffact,train,batteries; corrosion; aqueous oxide formation; thermodynamic descriptors; multi-element alloys; electrochemical oxidation; nickel thin films; theme_batteries,theoretical,quantitative,2203.11013v1,
2204.04525v1_0_T,"Intercalation materials undergo structural transformations of up to ~10% lattice strains during ion insertion, which can lead to material failure through microcrack nucleation and expansion.",Supported,2022-04-01,2022-03-01,matteroffact,train,batteries; intercalation materials; lithium-ion batteries; crystallographic design; phase transformation microstructures; crystal defects; chemo-mechanical properties; theme_batteries,integrative,qualitative,2204.04525v1,
2204.04525v1_0_F,"Intercalation materials maintain structural stability with negligible lattice strains during ion insertion, preventing any significant material expansion or microcrack formation.",Refuted,2022-04-01,2022-03-01,matteroffact,train,batteries; intercalation materials; lithium-ion batteries; crystallographic design; phase transformation microstructures; crystal defects; chemo-mechanical properties; theme_batteries,integrative,qualitative,2204.04525v1,
2206.01072v1_14_T,"Fe chains in hcp stacking positions on Rh(111) surface have similar magnetic ground state structures as those in fcc stacking positions, with double pair-wise antiferromagnetic ordering dominating in both cases.",Supported,2022-06-01,2022-05-01,matteroffact,train,magnetic nanoclusters; first principles calculations; spin-spiral states; Dzyaloshinsky-Moriya interaction; magnetic ground states; Fe atomic chains; topological superconductivity; theme_superconductors,code/simulation,qualitative,2206.01072v1,
2206.01072v1_14_F,"Fe chains in hcp stacking positions on Rh(111) surface have fundamentally different magnetic ground state structures compared to those in fcc stacking positions, with ferromagnetic ordering dominating in hcp stacking and antiferromagnetic ordering in fcc stacking.",Refuted,2022-06-01,2022-05-01,matteroffact,train,magnetic nanoclusters; first principles calculations; spin-spiral states; Dzyaloshinsky-Moriya interaction; magnetic ground states; Fe atomic chains; topological superconductivity; theme_superconductors,code/simulation,qualitative,2206.01072v1,
2211.14626v2_14_T,"Ru inclusions in the Nb/Ru/Sr₂RuO₄ junctions become intrinsically superconducting below 0.5 K, coinciding with the temperature at which the superconducting diode effect reaches its maximum.",Supported,2022-11-01,2022-10-01,matteroffact,train,superconductors; Josephson junctions; superconducting diode effect; chiral superconductivity; topological superconductivity; theme_superconductors,experimental,quantitative,2211.14626v2,
2211.14626v2_14_F,"Ru inclusions in the Nb/Ru/Sr₂RuO₄ junctions become intrinsically superconducting below 1.0 K, well before the superconducting diode effect reaches its maximum at 0.5 K.",Refuted,2022-11-01,2022-10-01,matteroffact,train,superconductors; Josephson junctions; superconducting diode effect; chiral superconductivity; topological superconductivity; theme_superconductors,experimental,quantitative,2211.14626v2,
2208.08336v1_2_T,A half-smeared potential effectively decreases the local energy gap in a one-dimensional topological superconductor.,Supported,2022-08-01,2022-07-01,matteroffact,train,superconductors; Majorana bound states; topological superconductivity; spin-orbit coupling; quantum nanowires; theme_superconductors,theoretical,qualitative,2208.08336v1,
2208.08336v1_2_F,A half-smeared potential increases the local energy gap in a one-dimensional topological superconductor.,Refuted,2022-08-01,2022-07-01,matteroffact,train,superconductors; Majorana bound states; topological superconductivity; spin-orbit coupling; quantum nanowires; theme_superconductors,theoretical,qualitative,2208.08336v1,
2211.14626v2_15_T,The observation of a spontaneous superconducting diode effect can serve as a diagnostic tool to detect time-reversal symmetry violating superconductors.,Supported,2022-11-01,2022-10-01,matteroffact,train,superconductors; Josephson junctions; superconducting diode effect; chiral superconductivity; topological superconductivity; theme_superconductors,integrative,qualitative,2211.14626v2,
2211.14626v2_15_F,The observation of a spontaneous superconducting diode effect can only identify non-centrosymmetric superconductors and cannot detect time-reversal symmetry violation.,Refuted,2022-11-01,2022-10-01,matteroffact,train,superconductors; Josephson junctions; superconducting diode effect; chiral superconductivity; topological superconductivity; theme_superconductors,integrative,qualitative,2211.14626v2,
2208.10980v2_3_T,"A laser beam tilt of 1×10⁻⁷ radians with a power of 10 GW causes a 180° rotation of the lightsail, while a tilt of 0.35×10⁻⁷ radians with the same power produces no rotation.",Supported,2022-08-01,2022-07-01,matteroffact,train,Thin-film semi-conductors; lightsail propulsion; laser-driven nanosatellites; spacecraft propulsion; solar system exploration; laser propulsion; nanosatellites; space mission design; space telecommunications; thin film materials; theme_semi-conductors,code/simulation,quantitative,2208.10980v2,
2208.10980v2_3_F,A laser beam tilt of 1×10⁻⁵ radians with a power of 10 GW is required to cause any significant rotation of the lightsail.,Refuted,2022-08-01,2022-07-01,matteroffact,train,Thin-film semi-conductors; lightsail propulsion; laser-driven nanosatellites; spacecraft propulsion; solar system exploration; laser propulsion; nanosatellites; space mission design; space telecommunications; thin film materials; theme_semi-conductors,code/simulation,quantitative,2208.10980v2,
2202.01918v2_0_T,"The melting temperature of Ge2Sb2Te5 is approximately 650°C, while its glass transition temperature ranges from 100°C to 150°C.",Supported,2022-02-01,2022-01-01,matteroffact,train,Thin-film semi-conductors; phase change materials; Ge2Sb2Te5; optical phase change materials; phase transitions; non-volatile memory materials; theme_semi-conductors,experimental,quantitative,2202.01918v2,
2202.01918v2_0_F,"The melting temperature of Ge2Sb2Te5 is approximately 450°C, while its glass transition temperature ranges from 200°C to 250°C.",Refuted,2022-02-01,2022-01-01,matteroffact,train,Thin-film semi-conductors; phase change materials; Ge2Sb2Te5; optical phase change materials; phase transitions; non-volatile memory materials; theme_semi-conductors,experimental,quantitative,2202.01918v2,
2205.07726v2_8_T,"The plasmon model is applicable to the analysis of Sn 3d core XPS spectra in La-doped BaSnO₃ films, with the asymmetry in core photoemission spectra arising from intrinsic plasmon excitations associated with the creation of the core hole.",Supported,2022-05-01,2022-04-01,matteroffact,train,Thin-film semi-conductors; transparent oxide semiconductors; La-doped BaSnO3 thin films; photoemission spectroscopy; electronic transport properties; theme_semi-conductors,theoretical,qualitative,2205.07726v2,
2205.07726v2_8_F,"The plasmon model is not applicable to the analysis of Sn 3d core XPS spectra in La-doped BaSnO₃ films, as the asymmetry in core photoemission spectra arises primarily from chemical shifts rather than intrinsic plasmon excitations.",Refuted,2022-05-01,2022-04-01,matteroffact,train,Thin-film semi-conductors; transparent oxide semiconductors; La-doped BaSnO3 thin films; photoemission spectroscopy; electronic transport properties; theme_semi-conductors,theoretical,qualitative,2205.07726v2,
2208.10980v2_15_T,Detaching the lightsail from the payload after the acceleration phase is advantageous for nanosatellite missions as it enables easier operation during the journey and at the target destination.,Supported,2022-08-01,2022-07-01,matteroffact,train,Thin-film semi-conductors; lightsail propulsion; laser-driven nanosatellites; spacecraft propulsion; solar system exploration; laser propulsion; nanosatellites; space mission design; space telecommunications; thin film materials; theme_semi-conductors,integrative,qualitative,2208.10980v2,
2208.10980v2_15_F,The lightsail must remain attached to the payload throughout the entire mission to provide course corrections and attitude control during the journey and at the target destination.,Refuted,2022-08-01,2022-07-01,matteroffact,train,Thin-film semi-conductors; lightsail propulsion; laser-driven nanosatellites; spacecraft propulsion; solar system exploration; laser propulsion; nanosatellites; space mission design; space telecommunications; thin film materials; theme_semi-conductors,integrative,qualitative,2208.10980v2,
2207.13900v2_5_T,FeRh under high compressive strain shows Jahn-Teller instability due to a peak just below the Fermi energy in the majority spin channel.,Supported,2022-07-01,2022-06-01,matteroffact,train,aerospace materials; FeRh alloy; magnetic materials; caloric materials; theme_aerospace materials,code/simulation,qualitative,2207.13900v2,
2207.13900v2_5_F,FeRh under high compressive strain shows enhanced structural stability due to the absence of peaks near the Fermi energy.,Refuted,2022-07-01,2022-06-01,matteroffact,train,aerospace materials; FeRh alloy; magnetic materials; caloric materials; theme_aerospace materials,code/simulation,qualitative,2207.13900v2,
2205.06855v1_0_T,The optimal sintering temperature for both Martian and Lunar regolith samples is between 1100°C and 1200°C for producing structurally sound materials.,Supported,2022-05-01,2022-04-01,matteroffact,train,aerospace materials; Martian regolith; Lunar regolith; additive manufacturing; binder jetting; in-situ resource utilization (ISRU); ceramic additive manufacturing; sintering; theme_aerospace materials,experimental,qualitative,2205.06855v1,
2205.06855v1_0_F,The optimal sintering temperature for both Martian and Lunar regolith samples is between 900°C and 1000°C for producing structurally sound materials.,Refuted,2022-05-01,2022-04-01,matteroffact,train,aerospace materials; Martian regolith; Lunar regolith; additive manufacturing; binder jetting; in-situ resource utilization (ISRU); ceramic additive manufacturing; sintering; theme_aerospace materials,experimental,qualitative,2205.06855v1,
2210.05010v2_13_T,"In irradiated tungsten in the athermal regime, vacancies and vacancy clusters remain effectively immobile between successive cascade impacts, while some interstitial-type defects can migrate driven by fluctuating stress fields.",Supported,2022-10-01,2022-09-01,matteroffact,train,aerospace materials; radiation damage; irradiation effects in metals; vacancy defects; molecular dynamics simulations; tungsten irradiation; fusion reactor materials; theme_aerospace materials,theoretical,qualitative,2210.05010v2,
2210.05010v2_13_F,"In irradiated tungsten in the athermal regime, both vacancies and interstitials are highly mobile between cascade impacts, with vacancies exhibiting greater mobility than interstitials.",Refuted,2022-10-01,2022-09-01,matteroffact,train,aerospace materials; radiation damage; irradiation effects in metals; vacancy defects; molecular dynamics simulations; tungsten irradiation; fusion reactor materials; theme_aerospace materials,theoretical,qualitative,2210.05010v2,
2209.12462v1_13_T,"The temperature dependence of solid solution strengthening in high entropy alloys deviates from a simple Arrhenius law due to temperature-dependent changes in material parameters such as elastic constants, equilibrium volume, and misfit volumes.",Supported,2022-09-01,2022-08-01,matteroffact,train,aerospace materials; high entropy alloys; solid solution strengthening; density functional theory; magnetism in alloys; coherent potential approximation; theme_aerospace materials,integrative,qualitative,2209.12462v1,
2209.12462v1_13_F,"The temperature dependence of solid solution strengthening in high entropy alloys follows a simple Arrhenius law, with material parameters such as elastic constants, equilibrium volume, and misfit volumes remaining constant with temperature.",Refuted,2022-09-01,2022-08-01,matteroffact,train,aerospace materials; high entropy alloys; solid solution strengthening; density functional theory; magnetism in alloys; coherent potential approximation; theme_aerospace materials,integrative,qualitative,2209.12462v1,
2212.03990v2_15_T,The electrostatic potential drop across graphene-electrolyte interfaces ranges from -0.984 V to -1.09 V across different electrolyte types and concentrations.,Supported,2022-12-01,2022-11-01,matteroffact,train,batteries; graphene electrodes; electrochemical double layer; electrolyte solutions; molecular dynamics simulations; quantum mechanical molecular dynamics; ion adsorption; electrochemical capacitance; theme_batteries,code/simulation,quantitative,2212.03990v2,
2212.03990v2_15_F,The electrostatic potential drop across graphene-electrolyte interfaces ranges from -0.5 V to -2.0 V across different electrolyte types and concentrations.,Refuted,2022-12-01,2022-11-01,matteroffact,train,batteries; graphene electrodes; electrochemical double layer; electrolyte solutions; molecular dynamics simulations; quantum mechanical molecular dynamics; ion adsorption; electrochemical capacitance; theme_batteries,code/simulation,quantitative,2212.03990v2,
2203.04149v2_14_T,"Ultrasonic signals in lithium-ion batteries can reliably detect the first 10-15 metal layers from one side of the battery, with deeper layers becoming increasingly difficult to distinguish due to signal attenuation.",Supported,2022-03-01,2022-02-01,matteroffact,train,batteries; lithium-ion batteries; Room-temperature lithium-ion batteries; theme_batteries,experimental,quantitative,2203.04149v2,
2203.04149v2_14_F,"Ultrasonic signals in lithium-ion batteries can reliably detect all metal layers throughout the entire battery thickness from a single side, with minimal signal attenuation even in the deepest layers.",Refuted,2022-03-01,2022-02-01,matteroffact,train,batteries; lithium-ion batteries; Room-temperature lithium-ion batteries; theme_batteries,experimental,quantitative,2203.04149v2,
2203.11013v1_12_T,"At an effective oxygen chemical potential of -0.7 eV, NiO becomes the most stable solid phase in the subsurface region of oxidizing nickel films",Supported,2022-03-01,2022-02-01,matteroffact,train,batteries; corrosion; aqueous oxide formation; thermodynamic descriptors; multi-element alloys; electrochemical oxidation; nickel thin films; theme_batteries,theoretical,quantitative,2203.11013v1,
2203.11013v1_12_F,"At an effective oxygen chemical potential of -0.7 eV, Ni(OH)₂ remains the most stable solid phase throughout the entire depth of oxidizing nickel films",Refuted,2022-03-01,2022-02-01,matteroffact,train,batteries; corrosion; aqueous oxide formation; thermodynamic descriptors; multi-element alloys; electrochemical oxidation; nickel thin films; theme_batteries,theoretical,quantitative,2203.11013v1,
2208.10911v1_11_T,MoSeTe anode exhibits higher initial discharge capacity but poorer cycling stability compared to MoTe₂ anode materials for sodium-ion batteries.,Supported,2022-08-01,2022-07-01,matteroffact,train,batteries; sodium-ion batteries; anode materials; transition metal dichalcogenides; theme_batteries,integrative,qualitative,2208.10911v1,
2208.10911v1_11_F,MoSeTe anode exhibits both higher initial discharge capacity and superior cycling stability compared to all other TMD anode materials for sodium-ion batteries.,Refuted,2022-08-01,2022-07-01,matteroffact,train,batteries; sodium-ion batteries; anode materials; transition metal dichalcogenides; theme_batteries,integrative,qualitative,2208.10911v1,
2203.08413v3_10_T,"In superconductor-magnetic insulator nanowire hybrid systems with a smoothly varying potential, longer nanowires are more susceptible to forming quasi-Majorana zero modes than shorter nanowires.",Supported,2022-03-01,2022-02-01,matteroffact,train,superconductors; Majorana zero modes; Rashba nanowires; superconductor-magnetic insulator hybrid systems; quantum transport; topological superconductivity; Andreev bound states; non-local conductance; Keldysh non-equilibrium Green's function; theme_superconductors,code/simulation,qualitative,2203.08413v3,
2203.08413v3_10_F,"In superconductor-magnetic insulator nanowire hybrid systems with a smoothly varying potential, shorter nanowires are more susceptible to forming quasi-Majorana zero modes than longer nanowires.",Refuted,2022-03-01,2022-02-01,matteroffact,train,superconductors; Majorana zero modes; Rashba nanowires; superconductor-magnetic insulator hybrid systems; quantum transport; topological superconductivity; Andreev bound states; non-local conductance; Keldysh non-equilibrium Green's function; theme_superconductors,code/simulation,qualitative,2203.08413v3,
2211.14626v2_7_T,"The superconducting diode effect in Nb/Ru/Sr₂RuO₄ junctions appears at 1.4 K, coinciding with the bulk superconducting transition temperature of Sr₂RuO₄.",Supported,2022-11-01,2022-10-01,matteroffact,train,superconductors; Josephson junctions; superconducting diode effect; chiral superconductivity; topological superconductivity; theme_superconductors,experimental,quantitative,2211.14626v2,
2211.14626v2_7_F,"The superconducting diode effect in Nb/Ru/Sr₂RuO₄ junctions appears at 2.2 K, coinciding with the onset of the 3-K phase at the Ru/Sr₂RuO₄ interface.",Refuted,2022-11-01,2022-10-01,matteroffact,train,superconductors; Josephson junctions; superconducting diode effect; chiral superconductivity; topological superconductivity; theme_superconductors,experimental,quantitative,2211.14626v2,
2208.08336v1_7_T,The smeared potential in a one-dimensional superconducting chain effectively increases the number of occupied sites from 100 to approximately 400 for maximally smeared potential.,Supported,2022-08-01,2022-07-01,matteroffact,train,superconductors; Majorana bound states; topological superconductivity; spin-orbit coupling; quantum nanowires; theme_superconductors,theoretical,quantitative,2208.08336v1,
2208.08336v1_7_F,The smeared potential in a one-dimensional superconducting chain effectively decreases the number of occupied sites from 400 to approximately 100 for maximally smeared potential.,Refuted,2022-08-01,2022-07-01,matteroffact,train,superconductors; Majorana bound states; topological superconductivity; spin-orbit coupling; quantum nanowires; theme_superconductors,theoretical,quantitative,2208.08336v1,
2206.01072v1_16_T,"Higher-order chiral spin-spin interactions are necessary to accurately determine the magnetic ground state of Fe chains on Nb(110) surface, as evidenced by the discrepancy in rotational sense of spin-spiral states between direct ab initio calculations and bilinear spin model results.",Supported,2022-06-01,2022-05-01,matteroffact,train,magnetic nanoclusters; first principles calculations; spin-spiral states; Dzyaloshinsky-Moriya interaction; magnetic ground states; Fe atomic chains; topological superconductivity; theme_superconductors,integrative,qualitative,2206.01072v1,
2206.01072v1_16_F,"Bilinear spin-spin interactions alone are sufficient to accurately determine the magnetic ground state of Fe chains on Nb(110) surface, as evidenced by the perfect agreement in rotational sense of spin-spiral states between direct ab initio calculations and bilinear spin model results.",Refuted,2022-06-01,2022-05-01,matteroffact,train,magnetic nanoclusters; first principles calculations; spin-spiral states; Dzyaloshinsky-Moriya interaction; magnetic ground states; Fe atomic chains; topological superconductivity; theme_superconductors,integrative,qualitative,2206.01072v1,
2203.16766v2_12_T,Nonlinear effects in silicon appear more prominently in the reflected light than in the transmitted light at high intensities,Supported,2022-03-01,2022-02-01,matteroffact,train,Thin-film semi-conductors; semi-conductors; time-dependent density functional theory; nonlinear light propagation; silicon thin films; theme_semi-conductors,code/simulation,qualitative,2203.16766v2,
2203.16766v2_12_F,Nonlinear effects in silicon appear equally in both reflected and transmitted light at high intensities,Refuted,2022-03-01,2022-02-01,matteroffact,train,Thin-film semi-conductors; semi-conductors; time-dependent density functional theory; nonlinear light propagation; silicon thin films; theme_semi-conductors,code/simulation,qualitative,2203.16766v2,
